,location,isp,speed,images
111,Nyamirambo (Kuri 40),"['@airtelrw', '', '3G']",170kbps,['http://pbs.twimg.com/media/EUsD8KPWAAEEgc_.jpg']
112,Gihara/Kamonyi,"['Airtel', '3G']",1.9 Mbps,['http://pbs.twimg.com/media/EUsDsVMXYAEprOQ.jpg']
113,,[],3.2 Mbps,['http://pbs.twimg.com/media/EUsCzhIXYAAEC1v.jpg']
114,,,,['http://pbs.twimg.com/media/EUsBVX7X0AAWsKU.jpg']
115,remera,['airtel'],20mps,['http://pbs.twimg.com/media/EUsA9FdX0AIsi0h.jpg']
116,Kacyiru,['MTN'],140Kbps,['http://pbs.twimg.com/media/EUsA3FHWsAMRpyw.jpg']
117,Kacyiru,['Airtel'],,['http://pbs.twimg.com/media/EUsADSFWoAAtyVN.jpg']
118,Nyamirambo,,1.4 Mbps,['http://pbs.twimg.com/media/EUsAA0uXkAU8L-v.jpg']
119,,,,['http://pbs.twimg.com/media/EUr_gZXXsAEZblz.jpg']
120,,,,['http://pbs.twimg.com/media/EUr-pUPXgAIbO6V.jpg']
121,Kabeza,['@airtelrw'],130kbps 😴,['http://pbs.twimg.com/media/EUr9rqoWkAItXmf.jpg']
122,Kanombe,['Fastnet'],1.5 Mbps,['http://pbs.twimg.com/media/EUr8GtSXgAEky4L.jpg']
123,,"['MTN', 'mofos']",7.5Mbps,['http://pbs.twimg.com/media/EUr7-fpWsAYY5zo.jpg']
124,Muhima,['@MangoRwanda'],,['http://pbs.twimg.com/media/EUr7IGfX0AgD_WH.jpg']
125,,,,['http://pbs.twimg.com/media/EUr7CeRWkAUHI_G.jpg']
126,,,,['http://pbs.twimg.com/media/EUr6-iIXQAAXU5U.jpg']
127,Kibagabaga ,"['@liquidtelecom', '(Family', 'Entertainment', 'Package', '25']",3.6 Mbps,['http://pbs.twimg.com/media/EUr50FGWoAId2bx.jpg']
128,Kicukiro https://t.co/g9WcwJgV34,[],,['http://pbs.twimg.com/media/EUr476uXkAIWLr9.jpg']
129,Gisozi hejuru y'U rwibutso,['MTN'],,['http://pbs.twimg.com/media/EUr4d0MXYAMmQ4R.jpg']
130,kicukiro,['trukonekt'],,['http://pbs.twimg.com/media/EUr3ntzXQAEI3pI.jpg']
131,Kabeza AEE https://t.co/gmZIgppmCD,['Airtel'],490Kps,['http://pbs.twimg.com/media/EUr3bbNWkAEY9Qi.jpg']
132,Kabeza AEE https://t.co/WnMrkxJGBH,[],360Kps,['http://pbs.twimg.com/media/EUr3MSwXgAAwwMn.jpg']
133,Kabeza,['MTN'],,['http://pbs.twimg.com/media/EUr16NFWsAA7DgV.jpg']
134,Rusororo,,,['http://pbs.twimg.com/media/EUr1AkPXgAEEYfr.jpg']
135,Huye,"['Mango', 'Telecom']",3.2 Mbps,['http://pbs.twimg.com/media/EUrzGbeUMAc-q83.jpg']
136,KARURUMA ,['@MTNRwanda'],,['http://pbs.twimg.com/media/EUryrgpU4AEoz_1.jpg']
137,Kacyiru library,,,['http://pbs.twimg.com/media/EUrxCJtU8AEs7zD.jpg']
138,Musanze,[],2.3 Mbps 😑,['http://pbs.twimg.com/media/EUrwabgUcAE6nX2.jpg']
139,,,,['http://pbs.twimg.com/media/EUrvMYUUMAYDcFe.jpg']
140,,"['MTN', '(4G)']",3Mbps,['http://pbs.twimg.com/media/EUruxItUcAo3vzK.jpg']
141,Rwamagana ,['Airtel'],3.5Mbps,['http://pbs.twimg.com/media/EUruUHEUwAIWQTk.jpg']
142,,,,['http://pbs.twimg.com/media/EUrtJToUMAEWUL4.jpg']
143,,[],,['http://pbs.twimg.com/media/EUrsqB9UEAEVd_h.jpg']
144,,,,['http://pbs.twimg.com/media/EUrsr-mUwAgu1ad.jpg']
145,Remera,['Airtel'],6.8Mbps,['http://pbs.twimg.com/media/EUrsZwSUMAAaBlJ.png']
146,"busogo, Musanze, north",['Airtel'],1.1 Mbps,['http://pbs.twimg.com/media/EUrsYYtUYAIjTdn.jpg']
147,Kicukiro,"['@airtelrw', '']",,['http://pbs.twimg.com/media/EUrr781UEAM6TOM.jpg']
148,busogo(Musanze),,,['http://pbs.twimg.com/media/EUrqu0yU4AEwKPd.jpg']
149,Rebero,['MTN'],12 Mbps,['http://pbs.twimg.com/media/EUrp8AXUcAIvK3W.jpg']
150,Kabeza ,[],,['http://pbs.twimg.com/media/EUrp45hUYAAqMPH.jpg']
151,,,,['http://pbs.twimg.com/media/EUrpM9aU4AE0_XC.jpg']
152,Kacyiru https://t.co/GKdePsqfdS,['Mtn'],,['http://pbs.twimg.com/media/EUrojKRUcAIMLzC.jpg']
153,,,,['http://pbs.twimg.com/media/EUroFFBUwAAeeyc.jpg']
154,Kimironko,"['@airtelrw', '', '-', '3G']",4.9 Mbps,['http://pbs.twimg.com/media/EUrnxweUEAEkiAA.jpg']
155,Rubilizi https://t.co/OZ6hPaOpmc,[],,['http://pbs.twimg.com/media/EUrnfCQUMAErWWv.jpg']
156,,,,['http://pbs.twimg.com/media/EUrnc0-U0AggqzO.jpg']
157,,,,['http://pbs.twimg.com/media/EUrmKsQUwAABSN2.jpg']
158,gikondo,,,['http://pbs.twimg.com/media/EUrl0HeUEAAvcRT.jpg']
159,Kicukiro-Niboye,"['MTN', '(4G', 'irekure)']",,['http://pbs.twimg.com/media/EUrlyY-U4AI02Dg.jpg']
160,nyamirambo cosmos https://t.co/hSXlW6dU8z,[],,['http://pbs.twimg.com/media/EUrkeQjUcAAQcXz.jpg']
161,Niboye,"['MTN', 'Rwanda', '3G']",,['http://pbs.twimg.com/media/EUrj0kuUcAAjJt8.jpg']
162,Kacyiru,,,['http://pbs.twimg.com/media/EUrjiThUYAA8Xb-.jpg']
163,Sonatubes ,"['Airtel', '(3G)']",7.8 Mbps,['http://pbs.twimg.com/media/EUriji3UYAc7z4T.jpg']
164,Kimironko,[],580 Kbps,['http://pbs.twimg.com/media/EUrhF3WU0AI-sYG.jpg']
165,Kicukiro-Niboye,"['MTN', '3G']",,['http://pbs.twimg.com/media/EUrgSSnU8AcFNA6.jpg']
166,Kicukiro-Niboye,"['3G', 'Airtel']",,['http://pbs.twimg.com/media/EUre8xmUMAc3V4o.jpg']
167,Gisozi,[],2.5 Mbps,['http://pbs.twimg.com/media/EUrergSUwAAaaM9.jpg']
168,Kicukiro-Niboye,['Airtel'],4.1Mbps,['http://pbs.twimg.com/media/EUrdpK9U0AEDtdz.jpg']
169,Rusororo,"['@airtelrw', '3G']",,['http://pbs.twimg.com/media/EUrcpGVUcAEGRWJ.jpg']
170,,,,['http://pbs.twimg.com/media/EUrccr1UMAA2mcF.jpg']
171,Kimironko,"['Mango', 'Telecom']",,['http://pbs.twimg.com/media/EUrba36UUAAF4B9.jpg']
172,,"['Liquid', 'Telecom']",13 Mbps ,['http://pbs.twimg.com/media/EUrbSV8UYAAfPRH.jpg']
173,,['Mango'],2.3 Mbps,['http://pbs.twimg.com/media/EUrbPlDUwAAGwjs.jpg']
174,"Gasabo, Rutunga","['MTN', '4G', 'Irekure(Monthly', 'Unlimited)']",3.1 mbps,['http://pbs.twimg.com/media/EUraf69UcAEsJuQ.jpg']
175,Gisozi near Kurwibutso,"['MTN', '3G']",240Kbps,['http://pbs.twimg.com/media/EUraFI_U0AEP9Cq.jpg']
176,,,,['http://pbs.twimg.com/media/EUraDmxUMAAH7i8.jpg']
177,Kimihurura/Rugando,['MTN'],870 kbps,['http://pbs.twimg.com/media/EUrZmQlVAAA0eb8.jpg']
178,Ruyenzi,['@MTNRwanda'],1.4Mbps,['http://pbs.twimg.com/media/EUrZYXLUcAEdUhL.jpg']
179,Nyabihu District,"['Mtn', '3G']",3.23; 3.60,['http://pbs.twimg.com/media/EUrVMm-UcAIqpYa.jpg']
180,,,,['http://pbs.twimg.com/media/EUrUK9TUEAAM3VE.jpg']
181,,,,['http://pbs.twimg.com/media/EUrTYbYU0AIWRWX.png']
182,,,,['http://pbs.twimg.com/media/EUrTFCSVAAct2jG.jpg']
183,,,,['http://pbs.twimg.com/media/EUrSyaAUwAE_j6u.png']
184,Remera,"['Mango', '4G']",1.2Mbps,['http://pbs.twimg.com/media/EUrRp1RU4AASELB.jpg']
185,Kagarama ,['@mtnrwanda'],,['http://pbs.twimg.com/media/EUrRd2TU0AANsOt.jpg']
